测试套/软件包名,测试用例名,状态,日志文件,原因
ltrace,oe_test_ltrace_01,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_01/2023-09-02-18_35_31.log,None
,oe_test_ltrace_02,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_02/2023-09-02-18_37_37.log,None
,oe_test_ltrace_03,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_03/2023-09-02-18_39_49.log,None
,oe_test_ltrace_04,success,./mugen-riscv/logs/ltrace/oe_test_ltrace_04/2023-09-02-18_41_59.log,None
man-db,oe_test_service_man-db-cache-update,success,./mugen-riscv/logs/man-db/oe_test_service_man-db-cache-update/2023-09-02-20_00_04.log,None
,oe_test_service_man-db,success,./mugen-riscv/logs/man-db/oe_test_service_man-db/2023-09-02-20_00_42.log,None
,oe_test_service_man-db_01,success,./mugen-riscv/logs/man-db/oe_test_service_man-db_01/2023-09-02-20_01_15.log,None
memcached,oe_test_memcached_01,success,./mugen-riscv/logs/memcached/oe_test_memcached_01/2023-08-31-11_58_09.log,None
,oe_test_memcached_02,success,./mugen-riscv/logs/memcached/oe_test_memcached_02/2023-08-31-11_59_22.log,None
,oe_test_service_memcached,success,./mugen-riscv/logs/memcached/oe_test_service_memcached/2023-08-31-12_00_26.log,None
mksh,oe_test_mksh,success,./mugen-riscv/logs/mksh/oe_test_mksh/2023-08-31-14_07_11.log,None
mlocate,oe_test_service_mlocate-updatedb,success,./mugen-riscv/logs/mlocate/oe_test_service_mlocate-updatedb/2023-09-03-17_23_38.log,None
nghttp2,oe_test_service_nghttpx,success,./mugen-riscv/logs/nghttp2/oe_test_service_nghttpx/2023-09-03-17_59_23.log,None
nspr,oe_test_nspr_001,success,./mugen-riscv/logs/nspr/oe_test_nspr_001/2023-08-31-12_54_07.log,None
,oe_test_nspr_002,success,./mugen-riscv/logs/nspr/oe_test_nspr_002/2023-08-31-12_55_10.log,None
ntp,oe_test_service_ntp-wait,success,./mugen-riscv/logs/ntp/oe_test_service_ntp-wait/2023-09-02-18_38_36.log,None
,oe_test_service_ntpd,success,./mugen-riscv/logs/ntp/oe_test_service_ntpd/2023-09-02-18_37_08.log,None
,oe_test_service_ntpdate,success,./mugen-riscv/logs/ntp/oe_test_service_ntpdate/2023-09-02-18_35_23.log,None
,oe_test_service_sntp,success,./mugen-riscv/logs/ntp/oe_test_service_sntp/2023-09-02-18_41_32.log,None
numad,oe_test_service_numad,success,./mugen-riscv/logs/numad/oe_test_service_numad/2023-08-31-14_08_52.log,None
oddjob,oe_test_service_oddjobd,success,./mugen-riscv/logs/oddjob/oe_test_service_oddjobd/2023-09-03-18_00_07.log,None
openblas,oe_test_openblas,success,./mugen-riscv/logs/openblas/oe_test_openblas/2023-08-31-14_09_25.log,None
openldap,oe_test_service_slapd,success,./mugen-riscv/logs/openldap/oe_test_service_slapd/2023-09-03-18_00_30.log,None
opensm,oe_test_service_opensm,success,./mugen-riscv/logs/opensm/oe_test_service_opensm/2023-08-31-14_15_25.log,None
ostree,oe_test_service_ostree-finalize-staged,success,./mugen-riscv/logs/ostree/oe_test_service_ostree-finalize-staged/2023-08-31-14_17_32.log,None
pam,oe_test_service_pam_namespace,success,./mugen-riscv/logs/pam/oe_test_service_pam_namespace/2023-09-03-18_37_09.log,None
papi,oe_test_papi_avail_01,success,./mugen-riscv/logs/papi/oe_test_papi_avail_01/2023-08-31-04_23_09.log,None
,oe_test_papi_avail_02,success,./mugen-riscv/logs/papi/oe_test_papi_avail_02/2023-08-31-04_23_57.log,None
,oe_test_papi_command_line,success,./mugen-riscv/logs/papi/oe_test_papi_command_line/2023-08-31-04_24_39.log,None
,oe_test_papi_native_avail_01,success,./mugen-riscv/logs/papi/oe_test_papi_native_avail_01/2023-08-31-04_25_23.log,None
,oe_test_papi_native_avail_02,success,./mugen-riscv/logs/papi/oe_test_papi_native_avail_02/2023-08-31-04_26_02.log,None
,oe_test_papi_xml_event_info,success,./mugen-riscv/logs/papi/oe_test_papi_xml_event_info/2023-08-31-04_26_43.log,None
perl-DBI,oe_test_perl-DBI,success,./mugen-riscv/logs/perl-DBI/oe_test_perl-DBI/2023-09-01-01_33_55.log,None
pigz,oe_test_pigz,success,./mugen-riscv/logs/pigz/oe_test_pigz/2023-08-31-14_18_47.log,None
pixman,oe_test_pixman,success,./mugen-riscv/logs/pixman/oe_test_pixman/2023-09-03-18_37_28.log,None
pngquant,oe_test_pngquant,success,./mugen-riscv/logs/pngquant/oe_test_pngquant/2023-08-31-14_19_59.log,None
polkit,oe_test_service_polkit,success,./mugen-riscv/logs/polkit/oe_test_service_polkit/2023-09-03-19_11_20.log,None
powertop,oe_test_powertop,success,./mugen-riscv/logs/powertop/oe_test_powertop/2023-08-31-12_54_19.log,None
,oe_test_service_powertop,success,./mugen-riscv/logs/powertop/oe_test_service_powertop/2023-08-31-12_54_08.log,None
procps-ng,oe_test_procps-ng-pmap,success,./mugen-riscv/logs/procps-ng/oe_test_procps-ng-pmap/2023-08-31-14_21_11.log,None
protobuf-c,oe_test_protobuf-c_01,success,./mugen-riscv/logs/protobuf-c/oe_test_protobuf-c_01/2023-09-03-22_40_36.log,None
protobuf,oe_test_protobuf,success,./mugen-riscv/logs/protobuf/oe_test_protobuf/2023-09-03-19_13_02.log,None
psacct,oe_test_psacct,success,./mugen-riscv/logs/psacct/oe_test_psacct/2023-09-03-01_15_22.log,None
,oe_test_service_psacct,success,./mugen-riscv/logs/psacct/oe_test_service_psacct/2023-09-03-01_17_07.log,None
python-rtslib,oe_test_service_target,success,./mugen-riscv/logs/python-rtslib/oe_test_service_target/2023-08-31-14_21_39.log,None
qperf,oe_test_qperf_01,success,./mugen-riscv/logs/qperf/oe_test_qperf_01/2023-09-03-20_11_06.log,None
rdate,oe_test_rdate,success,./mugen-riscv/logs/rdate/oe_test_rdate/2023-08-31-14_22_36.log,None
rdma-core,oe_test_service_srp_daemon,success,./mugen-riscv/logs/rdma-core/oe_test_service_srp_daemon/2023-09-03-01_15_23.log,None
,oe_test_socket_ibacm,success,./mugen-riscv/logs/rdma-core/oe_test_socket_ibacm/2023-09-03-01_17_39.log,None
realmd,oe_test_service_realmd,success,./mugen-riscv/logs/realmd/oe_test_service_realmd/2023-09-03-20_06_43.log,None
rrdtool,oe_test_rrdtool_create_01,success,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_create_01/2023-08-31-14_50_58.log,None
