测试套/软件包名,测试用例名,状态,与23RC1对比,日志文件,原因
,oe_test_service_packagekit,success,same,./oe-rv2309/mugen-riscv_rc5/logs/PackageKit/oe_test_service_packagekit/2023-10-11-12:03:10.log,None
,oe_test_service_packagekit-offline-update,success,same,./oe-rv2309/mugen-riscv_rc5/logs/PackageKit/oe_test_service_packagekit-offline-update/2023-10-11-12:01:57.log,None
accountsservice,oe_test_service_accounts-daemon,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/accountsservice/oe_test_service_accounts-daemon/2023-10-11-02:04:43.log,x86 fail
acl,oe_test_access_providepam,fail,RC5fail,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_access_providepam/2023-10-11-08:12:53.log,
,oe_test_acl_add_write_permissions,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_add_write_permissions/2023-10-11-08:10:31.log,None
,oe_test_acl_backup_recovery,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_backup_recovery/2023-10-11-08:13:45.log,None
,oe_test_acl_chacl,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_chacl/2023-10-11-08:11:50.log,None
,oe_test_acl_change_mask,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_change_mask/2023-10-11-08:10:44.log,None
,oe_test_acl_check_create,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_check_create/2023-10-11-08:11:03.log,None
,oe_test_acl_defaulr_rule,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_defaulr_rule/2023-10-11-08:11:13.log,None
,oe_test_acl_default_kernel_setting,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_default_kernel_setting/2023-10-11-08:13:36.log,None
,oe_test_acl_delete_acl,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_delete_acl/2023-10-11-08:13:57.log,None
,oe_test_acl_dir_read,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_dir_read/2023-10-11-08:14:48.log,None
,oe_test_acl_dir_write,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_dir_write/2023-10-11-08:14:11.log,None
,oe_test_acl_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_file/2023-10-11-08:13:04.log,None
,oe_test_acl_file_authorize,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_file_authorize/2023-10-11-08:15:29.log,None
,oe_test_acl_getfacl,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_getfacl/2023-10-11-08:12:12.log,None
,oe_test_acl_only_root_permission,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_only_root_permission/2023-10-11-08:11:26.log,None
,oe_test_acl_setfacl,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acl/oe_test_acl_setfacl/2023-10-11-08:12:31.log,None
acpid,oe_test_service_acpid,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/acpid/oe_test_service_acpid/2023-10-11-10:02:13.log,/etc/systemd/system/sockets.target.wants/acpid.socket’: No such file or directory
,oe_test_socket_acpid,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/acpid/oe_test_socket_acpid/2023-10-11-10:04:07.log,/etc/systemd/system/sockets.target.wants/acpid.socket’: No such file or directory
,oe_test_acpid_01,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acpid/oe_test_acpid_01/2023-10-11-10:05:28.log,None
,oe_test_acpid_02,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acpid/oe_test_acpid_02/2023-10-11-10:06:33.log,None
,oe_test_acpid_03,success,same,./oe-rv2309/mugen-riscv_rc5/logs/acpid/oe_test_acpid_03/2023-10-11-10:07:43.log,None
amanda,oe_test_amanda_amssl,success,same,./oe-rv2309/mugen-riscv_rc5/logs/amanda/oe_test_amanda_amssl/2023-10-10-23:55:04.log,None
anaconda,oe_test_service_zram,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_zram/2023-10-11-11:29:06.log,x86 fail
,oe_test_service_anaconda,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda/2023-10-11-10:14:22.log,None
,oe_test_service_anaconda-direct,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-direct/2023-10-11-08:53:18.log,None
,oe_test_service_anaconda-fips,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-fips/2023-10-11-11:49:09.log,None
,oe_test_service_anaconda-nm-config,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-nm-config/2023-10-11-09:23:25.log,None
,oe_test_service_anaconda-noshell,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-noshell/2023-10-11-09:34:15.log,None
,oe_test_service_anaconda-pre,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-pre/2023-10-11-10:04:21.log,None
,oe_test_service_anaconda-sshd,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_anaconda-sshd/2023-10-11-10:44:28.log,None
,oe_test_service_instperf,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_service_instperf/2023-10-12-09:45:47.log,None
,oe_test_target_anaconda,success,same,./oe-rv2309/mugen-riscv_rc5/logs/anaconda/oe_test_target_anaconda/2023-10-11-11:32:42.log,None
apr,oe_test_apr_001,fail,RC5fail,./oe-rv2309/mugen-riscv_rc5/logs/apr/oe_test_apr_001/2023-10-11-01:29:05.log,
,oe_test_apr_002,fail,RC5fail,./oe-rv2309/mugen-riscv_rc5/logs/apr/oe_test_apr_002/2023-10-11-01:30:06.log,
