测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_service_rpc-gssd,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_rpc-gssd/2023-08-08-03:14:39.log,
,oe_test_service_nfs-idmapd,succeed,unknown,./mugen-riscv/logs/nfs-utils/oe_test_service_nfs-idmapd/2023-08-08-03:03:03.log,
lldpad,oe_test_service_lldpad,succeed,03fail,./mugen-riscv/logs/lldpad/oe_test_service_lldpad/2023-08-08-11:04:16.log,
,oe_test_socket_lldpad,succeed,unknown,./mugen-riscv/logs/lldpad/oe_test_socket_lldpad/2023-08-08-11:05:30.log,
ostree,oe_test_service_ostree-finalize-staged,succeed,unknown,./mugen-riscv/logs/ostree/oe_test_service_ostree-finalize-staged/2023-08-08-12:01:23.log,
colord,oe_test_service_colord,succeed,unknown,./mugen-riscv/logs/colord/oe_test_service_colord/2023-08-08-11:31:30.log,
git,oe_test_socket_git,succeed,unknown,./mugen-riscv/logs/git/oe_test_socket_git/2023-08-08-11:41:41.log,
telnet,oe_test_socket_telnet,succeed,unknown,./mugen-riscv/logs/telnet/oe_test_socket_telnet/2023-08-08-12:13:54.log,
rrdtool,oe_test_service_rrdcached,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_service_rrdcached/2023-08-08-00:03:59.log,
,oe_test_rrdtool_create_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_create_01/2023-08-08-00:06:54.log,
,oe_test_rrdtool_graphv_09,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_09/2023-08-08-00:30:17.log,
,oe_test_rrdtool_update,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_update/2023-08-08-00:09:04.log,
,oe_test_rrdtool_graphv_10,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_10/2023-08-08-00:31:25.log,
,oe_test_rrdtool_graph_04,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_04/2023-08-08-00:13:25.log,
,oe_test_rrdtool_graph_07,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_07/2023-08-08-00:16:47.log,
,oe_test_rrdtool_graphv_05,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_05/2023-08-08-00:25:44.log,
,oe_test_rrdtool_rrdcreate_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_rrdcreate_02/2023-08-08-00:43:24.log,
,oe_test_rrdtool_graph_10,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_10/2023-08-08-00:20:09.log,
,oe_test_rrdtool_graphv_08,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_08/2023-08-08-00:29:09.log,
,oe_test_rrdtool_graph_08,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_08/2023-08-08-00:17:54.log,
,oe_test_rrdtool_graph_03,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_03/2023-08-08-00:12:19.log,
,oe_test_rrdtool_rrdcreate_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_rrdcreate_01/2023-08-08-00:42:20.log,
,oe_test_rrdtool_fetch,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_fetch/2023-08-08-00:34:39.log,
,oe_test_rrdtool_rrdcached_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_rrdcached_01/2023-08-08-00:40:10.log,
,oe_test_rrdtool_graph_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_02/2023-08-08-00:11:14.log,
,oe_test_rrdtool_xport_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_xport_01/2023-08-08-00:36:57.log,
,oe_test_rrdtool_rrdcached_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_rrdcached_02/2023-08-08-00:41:14.log,
,oe_test_rrdtool_create_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_create_02/2023-08-08-00:08:00.log,
,oe_test_rrdtool_graphv_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_02/2023-08-08-00:22:21.log,
,oe_test_rrdtool_dump,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_dump/2023-08-08-00:32:30.log,
,oe_test_rrdtool_graph_01,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_01/2023-08-08-00:10:11.log,
,oe_test_rrdtool_graph_06,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_06/2023-08-08-00:15:41.log,
,oe_test_rrdtool_restore,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_restore/2023-08-08-00:33:34.log,
,oe_test_socket_rrdcached,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_socket_rrdcached/2023-08-08-00:05:30.log,
,oe_test_rrdtool_graph_09,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_09/2023-08-08-00:19:01.log,
,oe_test_rrdtool_graph_05,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graph_05/2023-08-08-00:14:33.log,
,oe_test_rrdtool_graphv_03,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_03/2023-08-08-00:23:29.log,
,oe_test_rrdtool_info,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_info/2023-08-08-00:35:52.log,
,oe_test_rrdtool_graphv_04,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_graphv_04/2023-08-08-00:24:36.log,
,oe_test_rrdtool_flushcached,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_flushcached/2023-08-08-00:39:04.log,
,oe_test_rrdtool_xport_02,succeed,unknown,./mugen-riscv/logs/rrdtool/oe_test_rrdtool_xport_02/2023-08-08-00:38:01.log,
