测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_disk_tuned_new,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_disk_tuned_new/2023-08-08-19_55_39.log,systemd-253-1 问题
,oe_test_disk_tuned_set,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_disk_tuned_set/2023-08-08-19_51_46.log,systemd-253-1 问题
,oe_test_expect,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_expect/2023-08-08-22_59_17.log,软件源问题
,oe_test_gcc_01,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_gcc_01/2023-08-09-00_01_09.log,gcc 警告信息变化导致 grep 失败
,oe_test_glibc,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_glibc/2023-08-08-23_50_28.log,glibc 升级导致的问题
,oe_test_hostnamectl,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_hostnamectl/2023-08-08-20_55_30.log,systemd 问题
,oe_test_kernel_sysctl,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_kernel_sysctl/2023-08-08-20_54_37.log,systemd-253-1 问题
,oe_test_localectl,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_localectl/2023-08-08-21_55_56.log,systemd-253-1 问题
,oe_test_net_config,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_net_config/2023-08-08-22_04_50.log,systemd-253-1 问题
,oe_test_net_mtr,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_net_mtr/2023-08-08-22_35_29.log,systemd-253-1 问题
,oe_test_net_ncat,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_net_ncat/2023-08-08-22_10_07.log,systemd-253-1 问题
,oe_test_nmcli_cancel_auto,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_nmcli_cancel_auto/2023-08-08-19_23_00.log,systemd-253-1 问题
,oe_test_nmcli_systemd_resolved,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_nmcli_systemd_resolved/2023-08-08-19_08_07.log,systemd-253-1 问题
,oe_test_password_change,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_password_change/2023-08-08-19_05_05.log,systemd-253-1 问题
,oe_test_power_measurement_internal,fail,./oe-rv2309/mugen-riscv/logs/os-basic/oe_test_power_measurement_internal/2023-08-08-18_56_15.log,powertop 失败
