测试套/软件包名,测试用例名,状态,日志文件,原因
cmake,oe_test_ccmake,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cmake/oe_test_ccmake/2023-09-12-13:59:45.log,x86 fail
,oe_test_ccmake3,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cmake/oe_test_ccmake3/2023-09-12-14:01:30.log,x86 fail
djvulibre,oe_test_djvulibre_01,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/djvulibre/oe_test_djvulibre_01/2023-09-12-14:27:31.log,x86 fail
initscripts,oe_test_service_netconsole,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/initscripts/oe_test_service_netconsole/2023-09-12-14:36:42.log,x86 fail
,oe_test_service_import-state,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/initscripts/oe_test_service_import-state/2023-09-12-14:35:25.log,	原因相同systemd启动失败
net-tools,oe_test_net-tools_ipmaddr,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/net-tools/oe_test_net-tools_ipmaddr/2023-09-12-14:46:42.log,x86 fail
,oe_test_net-tools_route,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/net-tools/oe_test_net-tools_route/2023-09-12-14:46:14.log,x86 fail
bind,oe_test_service_named-chroot,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named-chroot/2023-09-12-14:51:53.log,None
,oe_test_service_named-chroot-setup,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named-chroot-setup/2023-09-12-14:50:04.log,None
,oe_test_service_named,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named/2023-09-12-14:54:26.log,None
httpd,oe_test_service_htcacheclean,fail,./oe-rv2309/mugen-riscv_v4/logs/httpd/oe_test_service_htcacheclean/2023-09-12-14:58:03.log,None
,oe_test_service_httpd,fail,./oe-rv2309/mugen-riscv_v4/logs/httpd/oe_test_service_httpd/2023-09-12-15:00:15.log,None
mtx,oe_test_mtx_tapeinfo,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/mtx/oe_test_mtx_tapeinfo/2023-09-12-14:47:19.log,x86 fail
,oe_test_mtx_mtx,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/mtx/oe_test_mtx_mtx/2023-09-12-14:51:57.log,x86 fail
,oe_test_mtx_loaderinfo,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/mtx/oe_test_mtx_loaderinfo/2023-09-12-14:42:42.log,x86 fail
,oe_test_mtx_scsitape,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/mtx/oe_test_mtx_scsitape/2023-09-12-15:01:14.log,x86 fail
,oe_test_mtx_scsieject,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/mtx/oe_test_mtx_scsieject/2023-09-12-14:56:40.log,x86 fail
sysstat,oe_test_service_sysstat,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/sysstat/oe_test_service_sysstat/2023-09-12-15:08:46.log,systemd enable后找不到对应文件
keyutils,oe_test_keyutils-api,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/keyutils/oe_test_keyutils-api/2023-09-12-15:08:56.log,x86 fail
cryptsetup,oe_test_luks_encrypted,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cryptsetup/oe_test_luks_encrypted/2023-09-12-15:14:06.log,原因相同，源中无cryptsetup-reencrypt
,oe_test_encrypt_data,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cryptsetup/oe_test_encrypt_data/2023-09-12-15:12:54.log,原因相同，源中无cryptsetup-reencrypt
,oe_test_use_luks,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cryptsetup/oe_test_use_luks/2023-09-12-15:15:32.log,原因相同，源中无cryptsetup-reencrypt
openscap,oe_test_scanning_remote_system,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_scanning_remote_system/2023-09-12-15:17:32.log,x86 fail
,oe_test_ensure_security_compliance,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_ensure_security_compliance/2023-09-12-15:18:02.log,环境描述文件中无远程机需求
,oe_test_assess_safety_compliance,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_assess_safety_compliance/2023-09-12-15:18:33.log,x86 fail
,oe_test_scanning_system,fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_scanning_system/2023-09-12-14:47:25.log,None
,oe_test_openscap_01,fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_openscap_01/2023-09-12-14:17:19.log,None
pbzip2,oe_test_pbzip2_03,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/pbzip2/oe_test_pbzip2_03/2023-09-12-15:22:48.log,x86 fail
util-linux,oe_test_socket_uuidd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/util-linux/oe_test_socket_uuidd/2023-09-12-15:24:26.log,systemd enable后找不到对应文件
cronie,oe_test_service_crond,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/cronie/oe_test_service_crond/2023-09-12-15:28:35.log,x86 fail
pcsc-lite,oe_test_socket_pcscd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/pcsc-lite/oe_test_socket_pcscd/2023-09-12-15:38:02.log,systemd enable后找不到对应文件
chrpath,oe_test_chrpath,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/chrpath/oe_test_chrpath/2023-09-12-15:51:12.log,x86 fail
crontabs,oe_test_crontabs,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/crontabs/oe_test_crontabs/2023-09-12-15:53:57.log,x86 fail
dbxtool,oe_test_service_dbxtool,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/dbxtool/oe_test_service_dbxtool/2023-09-12-15:54:08.log,x86 fail
geoclue2,oe_test_service_geoclue,fail,./oe-rv2309/mugen-riscv_v4/logs/geoclue2/oe_test_service_geoclue/2023-09-12-16:01:07.log,None
hostname,oe_test_service_nis-domainname,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/hostname/oe_test_service_nis-domainname/2023-09-12-16:04:24.log,x86 fail
qperf,oe_test_qperf_01,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/qperf/oe_test_qperf_01/2023-09-12-16:22:51.log,x86 fail
udisks2,oe_test_service_udisks2,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/udisks2/oe_test_service_udisks2/2023-09-12-16:30:50.log,x86 fail
ypbind,oe_test_service_ypbind,fail,./oe-rv2309/mugen-riscv_v4/logs/ypbind/oe_test_service_ypbind/2023-09-12-16:34:07.log,None
os-storage,oe_test_storage_mount_findmnt,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_mount_findmnt/2023-09-13-10:14:26.log,x86 fail
