测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
,oe_test_audit_max_log_file_suspend,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_suspend/2023-08-09-03:18:21.log,软件未安装
,oe_test_audit_max_log_file_syslog,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_syslog/2023-08-09-03:16:30.log,软件未安装
,oe_test_audit_monitor_dictionary_access,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_dictionary_access/2023-08-09-02:56:10.log,软件未安装
,oe_test_audit_monitor_do_command,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_do_command/2023-08-09-02:57:00.log,软件未安装
,oe_test_audit_monitor_file_access,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_file_access/2023-08-09-02:25:59.log,软件未安装
,oe_test_audit_monitor_network_visit,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_network_visit/2023-08-09-02:57:59.log,软件未安装
,oe_test_audit_monitor_system_use,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_system_use/2023-08-09-02:56:33.log,软件未安装
,oe_test_audit_other,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_other/2025-08-09-03:30:01.log,软件未安装
,oe_test_audit_rule_conflict_strategy,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_conflict_strategy/2023-08-09-02:59:56.log,软件未安装
,oe_test_audit_rule_contact_strategy,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_contact_strategy/2023-08-09-02:59:12.log,软件未安装
,oe_test_audit_rule_fetch_from_rule,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_fetch_from_rule/2023-08-09-03:00:25.log,软件未安装
,oe_test_audit_show_event_list,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_show_event_list/2023-08-09-03:02:20.log,软件未安装
,oe_test_audit_track_designated_access,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_track_designated_access/2023-08-09-02:58:19.log,软件未安装
,oe_test_audit_use_d_audit,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_use_d_audit/2023-08-09-02:58:35.log,软件未安装
,oe_test_audit_use_w_audit,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_use_w_audit/2023-08-09-02:58:54.log,软件未安装
,oe_test_audit_user_build_connection,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_user_build_connection/2023-08-09-03:02:38.log,软件未安装
,oe_test_aulastlog,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_aulastlog/2025-08-09-03:31:22.log,软件未安装
,oe_test_inject_time_fault,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_inject_time_fault/2023-08-09-03:27:02.log,软件未安装
,oe_test_service_auditd,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_service_auditd/2025-08-09-03:28:52.log,软件未安装
,oe_test_start_audit,fail,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_start_audit/2025-08-09-03:30:30.log,软件未安装
,oe_test_audit_monitor_security_event,success,same,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_security_event/2023-08-09-02:57:24.log,mugen脚本问题造成的假成功
authz,oe_test_service_authz,success,same,./oe-rv2309/mugen-riscv/logs/authz/oe_test_service_authz/2023-08-09-04:51:25.log,None
automake,oe_test_automake,success,same,./oe-rv2309/mugen-riscv/logs/automake/oe_test_automake/2023-08-09-04:49:01.log,None
bind,oe_test_service_named,fail,09fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named/2023-08-09-04:13:07.log,源中无bind软件包，可能尚未构建完成
,oe_test_service_named-chroot,fail,09fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named-chroot/2023-08-09-04:10:55.log,源中无bind软件包，可能尚未构建完成
,oe_test_service_named-chroot-setup,fail,09fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named-chroot-setup/2023-08-09-04:09:35.log,源中无bind软件包，可能尚未构建完成
,oe_test_service_named-setup-rndc,success,same,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named-setup-rndc/2023-08-09-04:12:19.log,None
