测试套/软件包名,测试用例名,状态,原因
,oe_test_hwloc_base_hwloc-ls_04,not tested,
,oe_test_hwloc_base_hwloc-ls_05,not tested,
,oe_test_hwloc_base_hwloc-patch,not tested,
,oe_test_hwloc_base_hwloc-ps_01,not tested,
,oe_test_hwloc_base_hwloc-ps_02,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_01,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_02,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_03,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_04,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_05,not tested,
,oe_test_hwloc_base_lstopo_01,not tested,
,oe_test_hwloc_base_lstopo_02,not tested,
,oe_test_hwloc_base_lstopo_03,not tested,
,oe_test_hwloc_base_lstopo_04,not tested,
,oe_test_hwloc_base_lstopo_05,not tested,
,oe_test_hwloc_base_others,not tested,
itstool_2.0.4,oe_test_itstool_2.0.4,not tested,
,oe_test_itstool_2.0.7,not tested,
,oe_test_itstool_base_01,not tested,
,oe_test_itstool_base_02,not tested,
itstool_2.0.7,oe_test_itstool_2.0.4,not tested,
,oe_test_itstool_2.0.7,not tested,
,oe_test_itstool_base_01,not tested,
,oe_test_itstool_base_02,not tested,
jgit,oe_test_jgit_01,not tested,
,oe_test_jgit_02,not tested,
,oe_test_jgit_03,not tested,
jq-issue,oe_test_jq_errorjson,not tested,
,oe_test_jq_inputline_4095,not tested,
,oe_test_jq_inputline_file,not tested,
,oe_test_jq_teshu,not tested,
,oe_test_jq_try_cache,not tested,
jtidy,oe_test_jtidy_01,not tested,
,oe_test_jtidy_02,not tested,
,oe_test_jtidy_03,not tested,
,oe_test_jtidy_04,not tested,
junit4,oe_test_junit4_TestCase_api,not tested,
,oe_test_junit4_TestResult_api,not tested,
,oe_test_junit4_TestSuite_api,not tested,
,oe_test_junit4_ant,not tested,
,oe_test_junit4_assert,not tested,
,oe_test_junit4_basic_annotation,not tested,
,oe_test_junit4_compare_different_performances,not tested,
,oe_test_junit4_execute_control,not tested,
,oe_test_junit4_expected,not tested,
,oe_test_junit4_maven,not tested,
,oe_test_junit4_parameterized,not tested,
,oe_test_junit4_performances,not tested,
,oe_test_junit4_suite,not tested,
keepalived-cli,common_lib,not tested,
